,Company Name,Job Title,location,Job URL,Date
32,Opinno,Strategy Consultant Internship,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/strategy-consultant-internship-at-opinno-3936330712?position=33&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=Alt%2FXZvS8vmPh%2BUpoI5yQw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-27
33,Allianz España,Prácticas Profesionales Data Governance,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/pr%C3%A1cticas-profesionales-data-governance-at-allianz-espa%C3%B1a-3864222441?position=34&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=6LzJNOSoFmegwHaFSv6jdQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-03-20
34,Ryanair - Europe's Favourite Airline,Aviation Engineer Trainee (Madrid),"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/aviation-engineer-trainee-madrid-at-ryanair-europe-s-favourite-airline-3901133263?position=35&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=bn%2BIGJo88jlEgH813rnuew%3D%3D&trk=public_jobs_jserp-result_search-card,2024-03-22
35,ENGIE España,Data Engineer Intern,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/data-engineer-intern-at-engie-espa%C3%B1a-3928699278?position=36&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=dxFsp0Tvk3OVqYwcdqdu6g%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-17
36,HelloMrLead,Prácticas - Desarrollo e integración de IA (España - Remoto),"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/pr%C3%A1cticas-desarrollo-e-integraci%C3%B3n-de-ia-espa%C3%B1a-remoto-at-hellomrlead-3932330652?position=37&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=feBWYnaGoRSEhHlfsiLiEA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-23
37,bsport,Business Analyst Generalist - Internship,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/business-analyst-generalist-internship-at-bsport-3935036615?position=38&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=y0cxh8hmPvfDlYNp8rPpbw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-31
38,astara connect,Market Intelligence & Partner Success Internship,"Alcobendas, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/market-intelligence-partner-success-internship-at-astara-connect-3930825370?position=39&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=hwet6PIeTqSyheR8TSsgEw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-20
39,Fever,Operations Intern,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/operations-intern-at-fever-3934479706?position=40&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=3R5QVE%2BNuqB37YfuRjWWrw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-30
40,ENGIE España,Front Office Risk Analyst Intern,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/front-office-risk-analyst-intern-at-engie-espa%C3%B1a-3929002748?position=41&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=2j0WOxgdoxsVJnfAYsngdA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-17
41,Kvalito Consulting Group,Life Science Consultant - Internship,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/life-science-consultant-internship-at-kvalito-consulting-group-3940152674?position=42&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=%2BpPKgmcijwRj8SASE6o6Eg%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-02
